,State,Year,Price per kilogram
69,Coahuila,2017,13.227337807606263
70,Coahuila,2018,13.755717439293598
71,Coahuila,2019,14.734453302961276
72,Coahuila,2020,15.509171779141104
73,Coahuila,2021,16.10241418764302
74,Coahuila,2022,18.46772222222222
75,Coahuila,2023,20.658310961968677
76,Coahuila,2024,21.562652777777775
77,Colima,2014,11.925331125827814
78,Colima,2015,11.913918918918919
79,Colima,2016,11.9056
80,Colima,2017,12.863523489932886
81,Colima,2018,13.36503311258278
82,Colima,2019,13.37241610738255
83,Colima,2020,13.909019607843138
84,Colima,2021,15.344794520547946
85,Colima,2022,18.3143
86,Colima,2023,19.938624161073825
87,Colima,2024,20.875375000000002
88,D.F.,2014,10.169654605263158
89,D.F.,2015,10.1825
90,D.F.,2016,10.168885191347753
91,D.F.,2017,11.47276845637584
92,D.F.,2018,11.590433333333333
93,D.F.,2019,12.023892617449665
94,D.F.,2020,12.754571917808219
95,D.F.,2021,14.325546357615893
96,D.F.,2022,16.653683333333333
97,D.F.,2023,16.98751677852349
98,D.F.,2024,17.187062500000003
99,Durango,2014,10.948592715231788
100,Durango,2015,11.095878378378378
101,Durango,2016,11.101883333333333
102,Durango,2017,12.014312080536913
103,Durango,2018,12.389933774834438
104,Durango,2019,12.70746644295302
105,Durango,2020,13.286183035714286
106,Durango,2021,14.409453642384106
107,Durango,2022,16.15035
108,Durango,2023,18.747449664429528
109,Durango,2024,19.211875000000003
110,Edo. México,2014,10.683278145695365
111,Edo. México,2015,10.855
112,Edo. México,2016,10.5759
113,Edo. México,2017,11.11993288590604
114,Edo. México,2018,11.453509933774834
115,Edo. México,2019,12.836891891891892
116,Edo. México,2020,13.447377049180327
117,Edo. México,2021,14.705223880597014
118,Edo. México,2022,15.721266666666667
119,Edo. México,2023,16.829328859060404
120,Edo. México,2024,16.93
121,Guanajuato,2014,10.465143171806167
122,Guanajuato,2015,10.483333333333334
123,Guanajuato,2016,10.597610619469027
124,Guanajuato,2017,12.539787472035794
125,Guanajuato,2018,12.69233995584989
126,Guanajuato,2019,12.936346863468634
127,Guanajuato,2020,13.562895833333332
128,Guanajuato,2021,15.879618320610687
129,Guanajuato,2022,17.517483333333335
130,Guanajuato,2023,18.658607382550336
131,Guanajuato,2024,18.56142259414226
132,Guerrero,2014,11.803564356435643
133,Guerrero,2015,12.083969594594596
134,Guerrero,2016,12.464749999999999
135,Guerrero,2017,13.174798657718119
136,Guerrero,2018,13.28294701986755
137,Guerrero,2019,13.629127516778524
138,Guerrero,2020,14.21892578125
139,Guerrero,2021,16.3705
140,Guerrero,2022,19.190836120401336
