State,State,Year,Crime Types
273,Baja California Sur,2015,Extorsión
274,Baja California Sur,2015,Daño a la propiedad
275,Baja California Sur,2015,Despojo
276,Baja California Sur,2015,Otros delitos contra el patrimonio
277,Baja California Sur,2015,Violencia familiar
278,Baja California Sur,2015,Violencia de género en todas sus modalidades distinta a la violencia familiar
279,Baja California Sur,2015,Incumplimiento de obligaciones de asistencia familiar
280,Baja California Sur,2015,Otros delitos contra la familia
281,Baja California Sur,2015,Corrupción de menores
282,Baja California Sur,2015,Trata de personas
283,Baja California Sur,2015,Otros delitos contra la sociedad
284,Baja California Sur,2015,Narcomenudeo
285,Baja California Sur,2015,Amenazas
286,Baja California Sur,2015,Allanamiento de morada
287,Baja California Sur,2015,Evasión de presos
288,Baja California Sur,2015,Falsedad
289,Baja California Sur,2015,Falsificación
290,Baja California Sur,2015,Contra el medio ambiente
291,Baja California Sur,2015,Delitos cometidos por servidores públicos
292,Baja California Sur,2015,Electorales
293,Baja California Sur,2015,Otros delitos del Fuero Común
294,Campeche,2015,Homicidio
295,Campeche,2015,Homicidio
296,Campeche,2015,Homicidio
297,Campeche,2015,Homicidio
298,Campeche,2015,Homicidio
299,Campeche,2015,Homicidio
300,Campeche,2015,Homicidio
301,Campeche,2015,Homicidio
302,Campeche,2015,Homicidio
303,Campeche,2015,Lesiones
304,Campeche,2015,Lesiones
305,Campeche,2015,Lesiones
306,Campeche,2015,Lesiones
307,Campeche,2015,Lesiones
308,Campeche,2015,Lesiones
309,Campeche,2015,Lesiones
310,Campeche,2015,Lesiones
311,Campeche,2015,Lesiones
312,Campeche,2015,Feminicidio
313,Campeche,2015,Feminicidio
314,Campeche,2015,Feminicidio
315,Campeche,2015,Feminicidio
316,Campeche,2015,Aborto
317,Campeche,2015,Otros delitos que atentan contra la vida y la integridad corporal
318,Campeche,2015,Secuestro
319,Campeche,2015,Secuestro
320,Campeche,2015,Secuestro
321,Campeche,2015,Secuestro
322,Campeche,2015,Secuestro
323,Campeche,2015,Tráfico de menores
324,Campeche,2015,Rapto
325,Campeche,2015,Otros delitos que atentan contra la libertad personal
326,Campeche,2015,Abuso sexual
327,Campeche,2015,Acoso sexual
328,Campeche,2015,Hostigamiento sexual
329,Campeche,2015,Violación simple
330,Campeche,2015,Violación equiparada
331,Campeche,2015,Incesto
332,Campeche,2015,Otros delitos que atentan contra la libertad y la seguridad sexual
333,Campeche,2015,Robo
334,Campeche,2015,Robo
335,Campeche,2015,Robo
336,Campeche,2015,Robo
337,Campeche,2015,Robo
338,Campeche,2015,Robo
339,Campeche,2015,Robo
340,Campeche,2015,Robo
341,Campeche,2015,Robo
342,Campeche,2015,Robo
343,Campeche,2015,Robo
344,Campeche,2015,Robo
345,Campeche,2015,Robo
346,Campeche,2015,Robo
347,Campeche,2015,Robo
348,Campeche,2015,Robo
349,Campeche,2015,Robo
350,Campeche,2015,Robo
351,Campeche,2015,Robo
352,Campeche,2015,Robo
353,Campeche,2015,Robo
354,Campeche,2015,Robo
355,Campeche,2015,Robo
356,Campeche,2015,Robo
357,Campeche,2015,Robo
358,Campeche,2015,Robo
359,Campeche,2015,Robo
360,Campeche,2015,Robo
361,Campeche,2015,Robo
362,Campeche,2015,Robo
363,Campeche,2015,Robo
364,Campeche,2015,Robo
365,Campeche,2015,Robo
366,Campeche,2015,Robo
367,Campeche,2015,Robo
368,Campeche,2015,Robo
369,Campeche,2015,Fraude
370,Campeche,2015,Abuso de confianza
371,Campeche,2015,Extorsión
372,Campeche,2015,Daño a la propiedad
373,Campeche,2015,Despojo
374,Campeche,2015,Otros delitos contra el patrimonio
375,Campeche,2015,Violencia familiar
376,Campeche,2015,Violencia de género en todas sus modalidades distinta a la violencia familiar
377,Campeche,2015,Incumplimiento de obligaciones de asistencia familiar
378,Campeche,2015,Otros delitos contra la familia
379,Campeche,2015,Corrupción de menores
380,Campeche,2015,Trata de personas
381,Campeche,2015,Otros delitos contra la sociedad
382,Campeche,2015,Narcomenudeo
383,Campeche,2015,Amenazas
384,Campeche,2015,Allanamiento de morada
385,Campeche,2015,Evasión de presos
386,Campeche,2015,Falsedad
387,Campeche,2015,Falsificación
388,Campeche,2015,Contra el medio ambiente
389,Campeche,2015,Delitos cometidos por servidores públicos
390,Campeche,2015,Electorales
391,Campeche,2015,Otros delitos del Fuero Común
392,Coahuila de Zaragoza,2015,Homicidio
393,Coahuila de Zaragoza,2015,Homicidio
394,Coahuila de Zaragoza,2015,Homicidio
395,Coahuila de Zaragoza,2015,Homicidio
396,Coahuila de Zaragoza,2015,Homicidio
397,Coahuila de Zaragoza,2015,Homicidio
398,Coahuila de Zaragoza,2015,Homicidio
399,Coahuila de Zaragoza,2015,Homicidio
400,Coahuila de Zaragoza,2015,Homicidio
401,Coahuila de Zaragoza,2015,Lesiones
402,Coahuila de Zaragoza,2015,Lesiones
403,Coahuila de Zaragoza,2015,Lesiones
404,Coahuila de Zaragoza,2015,Lesiones
405,Coahuila de Zaragoza,2015,Lesiones
406,Coahuila de Zaragoza,2015,Lesiones
407,Coahuila de Zaragoza,2015,Lesiones
408,Coahuila de Zaragoza,2015,Lesiones
409,Coahuila de Zaragoza,2015,Lesiones
410,Coahuila de Zaragoza,2015,Feminicidio
411,Coahuila de Zaragoza,2015,Feminicidio
412,Coahuila de Zaragoza,2015,Feminicidio
413,Coahuila de Zaragoza,2015,Feminicidio
414,Coahuila de Zaragoza,2015,Aborto
415,Coahuila de Zaragoza,2015,Otros delitos que atentan contra la vida y la integridad corporal
416,Coahuila de Zaragoza,2015,Secuestro
417,Coahuila de Zaragoza,2015,Secuestro
418,Coahuila de Zaragoza,2015,Secuestro
419,Coahuila de Zaragoza,2015,Secuestro
420,Coahuila de Zaragoza,2015,Secuestro
421,Coahuila de Zaragoza,2015,Tráfico de menores
422,Coahuila de Zaragoza,2015,Rapto
423,Coahuila de Zaragoza,2015,Otros delitos que atentan contra la libertad personal
424,Coahuila de Zaragoza,2015,Abuso sexual
425,Coahuila de Zaragoza,2015,Acoso sexual
426,Coahuila de Zaragoza,2015,Hostigamiento sexual
427,Coahuila de Zaragoza,2015,Violación simple
428,Coahuila de Zaragoza,2015,Violación equiparada
429,Coahuila de Zaragoza,2015,Incesto
430,Coahuila de Zaragoza,2015,Otros delitos que atentan contra la libertad y la seguridad sexual
431,Coahuila de Zaragoza,2015,Robo
432,Coahuila de Zaragoza,2015,Robo
433,Coahuila de Zaragoza,2015,Robo
434,Coahuila de Zaragoza,2015,Robo
435,Coahuila de Zaragoza,2015,Robo
436,Coahuila de Zaragoza,2015,Robo
437,Coahuila de Zaragoza,2015,Robo
438,Coahuila de Zaragoza,2015,Robo
439,Coahuila de Zaragoza,2015,Robo
440,Coahuila de Zaragoza,2015,Robo
441,Coahuila de Zaragoza,2015,Robo
442,Coahuila de Zaragoza,2015,Robo
443,Coahuila de Zaragoza,2015,Robo
444,Coahuila de Zaragoza,2015,Robo
445,Coahuila de Zaragoza,2015,Robo
446,Coahuila de Zaragoza,2015,Robo
447,Coahuila de Zaragoza,2015,Robo
448,Coahuila de Zaragoza,2015,Robo
449,Coahuila de Zaragoza,2015,Robo
450,Coahuila de Zaragoza,2015,Robo
451,Coahuila de Zaragoza,2015,Robo
452,Coahuila de Zaragoza,2015,Robo
453,Coahuila de Zaragoza,2015,Robo
454,Coahuila de Zaragoza,2015,Robo
455,Coahuila de Zaragoza,2015,Robo
456,Coahuila de Zaragoza,2015,Robo
457,Coahuila de Zaragoza,2015,Robo
458,Coahuila de Zaragoza,2015,Robo
459,Coahuila de Zaragoza,2015,Robo
460,Coahuila de Zaragoza,2015,Robo
461,Coahuila de Zaragoza,2015,Robo
462,Coahuila de Zaragoza,2015,Robo
463,Coahuila de Zaragoza,2015,Robo
464,Coahuila de Zaragoza,2015,Robo
465,Coahuila de Zaragoza,2015,Robo
466,Coahuila de Zaragoza,2015,Robo
467,Coahuila de Zaragoza,2015,Fraude
468,Coahuila de Zaragoza,2015,Abuso de confianza
469,Coahuila de Zaragoza,2015,Extorsión
